11,2024-02-15,45,"Bharat Atta",1,3,5000,123456789,12345678,,,,1707982715.jpg,1707982715.jpg,2024-02-15T07:38:35.000000Z,2024-02-15T07:38:35.000000Z
239,2024-03-01,48,Rice,7,4,50,1234,vh5455r67,,,,d2VpZ2htZW50X3NsaXAxNzA5MzgzMTQ1NzI1Nzk=.jpg,dmVoaWNsZV9waG90bzE3MDkzODMxNDU3NDcwMA==.jpg,2024-03-02T12:39:05.000000Z,2024-03-02T12:39:05.000000Z
13,2024-02-22,53,atta,7,4,1200,8764,Vh3456,,,,1708589292.jpg,1708589292.jpg,2024-02-22T08:08:12.000000Z,2024-02-22T08:08:12.000000Z
294,2024-03-05,53,atta,7,133,1200,8765,vh5678,,,,d2VpZ2htZW50X3NsaXAxNzA5NjE5MzgxNzQ1NjI=.jpg,dmVoaWNsZV9waG90bzE3MDk2MTkzODE3NTE2OQ==.jpg,2024-03-05T06:16:21.000000Z,2024-03-05T06:16:21.000000Z
15,2024-02-22,54,"BHARAT ATTA 10KG",13,7,1900,12728,"UK06CB 0694",,,,1708614236.jpg,1708614236.jpg,2024-02-22T15:03:56.000000Z,2024-02-22T15:03:56.000000Z
16,2024-02-22,54,"BHARAT ATTA 10KG",13,7,1800,10734,"UK06CB 0694",,,,1708615321.jpg,1708615321.jpg,2024-02-22T15:22:01.000000Z,2024-02-22T15:22:01.000000Z
17,2024-02-22,54,"BHARAT ATTA 10KG",13,8,1900,10737,UK06CA6074,,,,1708617968.jpg,1708617968.jpg,2024-02-22T16:06:08.000000Z,2024-02-22T16:06:08.000000Z
18,2024-02-22,54,"BHARAT ATTA 10KG",13,6,20000,10730,"UP25BT 5834",,,,1708618853.jpg,1708618853.jpg,2024-02-22T16:20:53.000000Z,2024-02-22T16:20:53.000000Z
19,2024-02-23,54,"BHARAT ATTA 10KG",13,9,8000,10741,UK17CA3164,,,,1708683492.jpg,1708683492.jpg,2024-02-23T10:18:12.000000Z,2024-02-23T10:18:12.000000Z
20,2024-02-24,54,"BHARAT ATTA 10KG",13,8,1900,10751,UK06CA6074,,,,1708764457.jpg,1708764457.jpg,2024-02-24T08:47:37.000000Z,2024-02-24T08:47:37.000000Z
21,2024-02-24,54,"BHARAT ATTA 10KG",13,8,1900,10755,UK06CA6074,,,,1708764539.jpg,1708764539.jpg,2024-02-24T08:48:59.000000Z,2024-02-24T08:48:59.000000Z
22,2024-02-24,54,"BHARAT ATTA 10KG",13,8,1700,10768,UK04CA6074,,,,1708779447.jpg,1708779447.jpg,2024-02-24T12:57:27.000000Z,2024-02-24T12:57:27.000000Z
24,2024-02-25,54,"BHARAT ATTA 10KG",13,8,1850,10774,UK06CA6074,,,,1708841884.jpg,1708841884.jpg,2024-02-25T06:18:04.000000Z,2024-02-25T06:18:04.000000Z
25,2024-02-25,54,"BHARAT ATTA 10KG",13,7,1900,10776,UK06CB0694,,,,1708842023.jpg,1708842023.jpg,2024-02-25T06:20:23.000000Z,2024-02-25T06:20:23.000000Z
26,2024-02-25,54,"BHARAT ATTA 10KG",13,8,1800,10780,UK06CA6074,,,,1708844326.jpg,1708844326.jpg,2024-02-25T06:58:46.000000Z,2024-02-25T06:58:46.000000Z
28,2024-02-25,54,"BHARAT ATTA 10KG",13,7,1750,10781,UK06CB0694,,,,1708845228.jpg,1708845228.jpg,2024-02-25T07:13:48.000000Z,2024-02-25T07:13:48.000000Z
29,2024-02-25,54,"BHARAT ATTA 10KG",13,8,1500,10787,"UK06CA 6074",,,,1708861540.jpg,1708861540.jpg,2024-02-25T11:45:40.000000Z,2024-02-25T11:45:40.000000Z
30,2024-02-25,54,"BHARAT ATTA 10KG",13,7,1850,10789,"UK06CB 0694",,,,1708861682.jpg,1708861682.jpg,2024-02-25T11:48:02.000000Z,2024-02-25T11:48:02.000000Z
31,2024-02-25,54,"BHARAT ATTA 10KG",13,33,16000,10777,UK04CB5284,,,,1708862970.jpg,1708862970.jpg,2024-02-25T12:09:30.000000Z,2024-02-25T12:09:30.000000Z
32,2024-02-25,54,"BHARAT ATTA 10KG",13,8,1900,10790,UK06CA6074,,,,1708866215.jpg,1708866215.jpg,2024-02-25T13:03:35.000000Z,2024-02-25T13:03:35.000000Z
33,2024-02-25,54,"BHARAT ATTA 10KG",13,7,1900,10791,UK06CB0694,,,,1708866277.jpg,1708866277.jpg,2024-02-25T13:04:37.000000Z,2024-02-25T13:04:37.000000Z
